dataset_id	intensity_mod	dwell_mod	mod_reads_freq
dataset_0570	3	0.8	1.0
dataset_0571	3	1	1.0
dataset_0572	3	2	1.0
dataset_0573	3	3	1.0
dataset_0574	3	4	1.0
dataset_0575	3	5	1.0
dataset_0576	4	0	1.0
dataset_0577	4	0.2	1.0
dataset_0578	4	0.4	1.0
dataset_0579	4	0.6	1.0
dataset_0580	4	0.8	1.0
dataset_0581	4	1	1.0
dataset_0582	4	2	1.0
dataset_0583	4	3	1.0
dataset_0584	4	4	1.0
dataset_0585	4	5	1.0
dataset_0586	5	0	1.0
dataset_0587	5	0.2	1.0
dataset_0588	5	0.4	1.0
dataset_0589	5	0.6	1.0
dataset_0590	5	0.8	1.0
dataset_0591	5	1	1.0
dataset_0592	5	2	1.0
dataset_0593	5	3	1.0
dataset_0594	5	4	1.0
dataset_0595	5	5	1.0
